# Years   Temperature (Yearly)
1800   38304
1801   38304
1802   38304
1803   38304
1804   38304
1805   38304
1806   38304
1807   38304
1808   38304
1809   38304
1810   38304
1811   38304
1812   38304
1813   38304
1814   38304
1815   38304
1816   38304
1817   38304
1818   38304
1819   38304
1820   38304
1821   38304
1822   38304
1823   38304
1824   38304
1825   38304
1826   38304
1827   38304
1828   38304
1829   38304
1830   38304
1831   38304
1832   38304
1833   38304
1834   38304
1835   38304
1836   38304
1837   38304
1838   38304
1839   38304
1840   38304
1841   38304
1842   38304
1843   38304
1844   38304
1845   38304
1846   38304
1847   38304
1848   38304
1849   38304
1850   38304
1851   38304
1852   38304
1853   38304
1854   38304
1855   38304
1856   38304
1857   38304
1858   38304
1859   38304
1860   38304
1861   38304
1862   38304
1863   38304
1864   38304
1865   38304
1866   38304
1867   38304
1868   38304
1869   38304
1870   38304
1871   38304
1872   38304
1873   38304
1874   38304
1875   38304
1876   38304
1877   38304
1878   38304
1879   38304
1880   38304
1881   38304
1882   38304
1883   38304
1884   38304
1885   38304
1886   38304
1887   38304
1888   38304
1889   38304
1890   38304
1891   38304
1892   38304
1893   38304
1894   38304
1895   38304
1896   38304
1897   38304
1898   38304
1899   38304
1900   38304
1901   38304
1902   38304
1903   38304
1904   38304
1905   38304
1906   38304
1907   38304
1908   38304
1909   38304
1910   38304
1911   38304
1912   38304
1913   38304
1914   38304
1915   38304
1916   38304
1917   38304
1918   38304
1919   38304
1920   38304
1921   38304
1922   38304
1923   38304
1924   38304
1925   38304
1926   38304
1927   38304
1928   38304
1929   38304
1930   38304
1931   38304
1932   38304
1933   38304
1934   38304
1935   38304
1936   38304
1937   38304
1938   38304
1939   38304
1940   38304
1941   38304
1942   38304
1943   38304
1944   38304
1945   38304
1946   38304
1947   38304
1948   38304
1949   38304
1950   38304
1951   38304
1952   38304
1953   38304
1954   38304
1955   38304
1956   38304
1957   38304
1958   38304
1959   38304
1960   38304
1961   38304
1962   38304
1963   38304
1964   38304
1965   38304
1966   38304
1967   38304
1968   38304
1969   38304
1970   38304
1971   38304
1972   38304
1973   38304
1974   38304
1975   38304
1976   38304
1977   38304
1978   38304
1979   38304
1980   38304
1981   38304
1982   38304
1983   38304
1984   38304
1985   38304
1986   38304
1987   38304
1988   38304
1989   38304
1990   38304
1991   38304
1992   38304
1993   38304
1994   38304
1995   38304
1996   38304
1997   38304
1998   38304
1999   38304
